,Lat,Long,Name,On_Yelp,Treated_Yelp,Review_count,Link,ID,Phone,Categories,Rating,City,Address,Treated_NonYelp,Num_control,Info_control,Zip,Control,Freq,City_code,Price,Amenities,Amenity_score,Takes_reservations,Offers_delivery,Parking_available,State,Geo_code,Review_count_before,Review_count_after,Rating_before,Rating_after,Match,x,y,n_neighbors,high_sub,high_rating
1,35.107364000000004,-106.550473,Black Angus Steakhouse,Y,N,134.0,https://www.yelp.com/biz/black-angus-steakhouse-albuquerque?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,jIUY051LBixe4Ks-PabQZw,15052921911.0,"Steakhouses, Sports Bars, American (Traditional)",3.0,Albuquerque,"['2290 Wyoming Blvd', 'Albuquerque, NM 87112']",N,0.0,,87112,Y,1,9,$$,"Happy Hour Specials:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:No,Good For:Lunch, Dinner, Dessert,Parking:Private Lot,Bike Parking:No,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Intimate,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Best Nights:Fri,Coat Check:No,Smoking:No,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Caters:No,Has Pool Table:No",4,1,1,1,NM,Albuquerque_NM,31.0,57.0,3.4516129032258065,2.421052631578948,1,-11861144.398142444,4178481.0716438848,12,1,1
3,47.31583,-122.30249,Black Angus Steakhouse,Y,N,357.0,https://www.yelp.com/biz/black-angus-steakhouse-federal-way?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,Jbbjr2iisD8hJ410CkdpuQ,12538398370.0,"Steakhouses, Sports Bars, American (Traditional)",3.0,Federal Way,"['2400 S 320th St', 'Federal Way, WA 98003']",N,0.0,,98003,Y,1,401,$$,"Happy Hour Specials:Yes,Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:No,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Fri, Sat, Sun,Coat Check:No,Smoking:No,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No,Has Pool Table:No",4,1,1,1,WA,Federal Way_WA,94.0,96.0,3.127659574468085,3.020833333333333,1,-13614650.909549432,5993778.798484957,14,1,1
6,33.464859999999994,-112.35506,Black Angus Steakhouse,Y,N,196.0,https://www.yelp.com/biz/black-angus-steakhouse-goodyear?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,vsdc5yC1kJ29CCjCMjD4Vg,16235358585.0,"Steakhouses, Sports Bars, American (Traditional)",3.5,Goodyear,"['13766 West McDowell Road', 'Goodyear, AZ 85338']",N,0.0,,85338,Y,1,489,$$,"Health Score:96 out of 100,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:No,Good For:Lunch, Dinner, Dessert,Parking:Private Lot,Bike Parking:Yes,Wheelchair Accessible:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Mon, Tue, Sat,Coat Check:No,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No,Has Pool Table:No",4,1,1,1,AZ,Goodyear_AZ,49.0,59.0,3.4285714285714284,3.4237288135593222,1,-12507308.067247698,3957170.158817542,17,1,1
7,33.306489899999995,-111.89025,Black Angus Steakhouse,Y,N,211.0,https://www.yelp.com/biz/black-angus-steakhouse-chandler?adjust_creative=o6NWcctsZY7V2dWUCbEA8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=o6NWcctsZY7V2dWUCbEA8w,f1KNYRXm8fxIjb6rVdyk7Q,14808559449.0,"Steakhouses, Sports Bars, American (Traditional)",3.5,Chandler,"['2770 W Chandler Blvd', 'Chandler, AZ 85224']",N,0.0,,85224,Y,1,189,$$,"Health Score:93 out of 100,Happy Hour Specials:Yes,Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:No,Good For:Dinner,Parking:Private Lot,Bike Parking:Yes,Wheelchair Accessible:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Sun,Coat Check:No,Smoking:No,Outdoor Seating:Yes,Wi-Fi:No,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No,Has Pool Table:No",3,1,1,1,AZ,Chandler_AZ,41.0,65.0,3.8536585365853657,3.3076923076923075,1,-12455565.654732078,3936056.3909111596,32,1,1
9,33.5774803161621,-112.117958068848,Black Angus Steakhouse,Y,N,176.0,https://www.yelp.com/biz/black-angus-steakhouse-phoenix?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,0Ryxx6uSpt4TOKYVGBekLQ,16029441517.0,"Steakhouses, Sports Bars, American (Traditional)",3.0,Phoenix,"['10021 Metro Pkwy E', 'Phoenix, AZ 85051']",N,0.0,,85051,Y,1,991,$$,"Health Score:85 out of 100,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual, Classy,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Best Nights:Tue, Fri, Sun,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Caters:No,Has Pool Table:No",4,1,1,1,AZ,Phoenix_AZ,36.0,58.0,3.388888888888889,3.0517241379310347,1,-12480914.001005756,3972208.0780553836,13,1,1
10,33.638819,-112.222786,Black Angus Steakhouse,Y,N,174.0,https://www.yelp.com/biz/black-angus-steakhouse-glendale?adjust_creative=o6NWcctsZY7V2dWUCbEA8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=o6NWcctsZY7V2dWUCbEA8w,CWlQcOcpSMRrHeaZkWoeJA,16238786200.0,"Steakhouses, Sports Bars, American (Traditional)",3.5,Glendale,"['7606 W Bell Rd', 'Glendale, AZ 85308']",N,0.0,,85308,Y,1,478,$$,"Health Score:92 out of 100,Happy Hour Specials:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:Yes,Wheelchair Accessible:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Tue, Wed, Fri,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No,Has Pool Table:No",3,1,1,1,AZ,Glendale_AZ,46.0,71.0,2.9782608695652173,3.661971830985916,1,-12492583.39292251,3980406.7368785893,26,1,1
11,32.790600899999994,-117.10008899999998,Black Angus Steakhouse,Y,N,494.0,https://www.yelp.com/biz/black-angus-steakhouse-san-diego-2?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,ONpty2x9-3KQuj13eic9-g,16195635862.0,"Steakhouses, Sports Bars, American (Traditional)",3.0,San Diego,"['10370 Friars Rd', 'San Diego, CA 92120']",N,0.0,,92120,Y,1,1117,$$,"Health Score:A,Happy Hour Specials:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Dinner,Parking:Private Lot,Bike Parking:Yes,Wheelchair Accessible:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual, Classy,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Mon, Fri, Sat,Smoking:No,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No,Has Pool Table:No",4,1,1,1,CA,San Diego_CA,108.0,138.0,3.314814814814815,3.0144927536231885,1,-13035522.279327014,3867542.604670762,14,1,1
12,32.80901,-116.96096,Black Angus Steakhouse,Y,N,373.0,https://www.yelp.com/biz/black-angus-steakhouse-el-cajon?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,fGZ7JPz1Mqng4QY1D0s6uQ,16194405055.0,"Steakhouses, Sports Bars, American (Traditional)",3.0,El Cajon,"['1000 Graves Avenue', 'El Cajon, CA 92021']",N,0.0,,92021,Y,1,356,$$,"Health Score:A,Happy Hour Specials:Yes,Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:No,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:Yes,Wheelchair Accessible:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Tue, Thu, Sat,Coat Check:No,Smoking:No,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Waiter Service:Yes,Caters:No,Has Pool Table:No",3,1,1,1,CA,El Cajon_CA,124.0,94.0,3.806451612903226,3.106382978723404,1,-13020034.50989244,3869980.5877659568,17,1,1
13,32.640869140625,-117.098121643066,Black Angus Steakhouse,Y,N,342.0,https://www.yelp.com/biz/black-angus-steakhouse-chula-vista?adjust_creative=o6NWcctsZY7V2dWUCbEA8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=o6NWcctsZY7V2dWUCbEA8w,20wt3AXx_4OU2kck8TuqlA,16194269200.0,"Steakhouses, Sports Bars, American (Traditional)",3.0,Chula Vista,"['707 E Street', 'Chula Vista, CA 91910']",N,0.0,,91910,Y,1,215,$$,"Health Score:A,Kids Menu:Yes,High Chairs:Yes,Keto Options:Yes,Vegan Options:Yes,Happy Hour Specials:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:No,Good For:Dinner,Parking:Private Lot,Bike Parking:Yes,Wheelchair Accessible:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual, Classy,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Tue, Wed, Sat,Coat Check:No,Smoking:No,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No,Has Pool Table:No",4,1,1,1,CA,Chula Vista_CA,91.0,97.0,3.1648351648351647,2.7628865979381443,1,-13035303.274154913,3847731.7928719455,14,1,1
14,38.67883,-121.26986,Black Angus Steakhouse,Y,N,355.0,https://www.yelp.com/biz/black-angus-steakhouse-citrus-heights?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,4OZeQ0OFdvDVfPl52Rzdow,19167263300.0,"Sports Bars, Steakhouses, American (Traditional)",3.5,Citrus Heights,"['7925 Greenback Ln', 'Citrus Heights, CA 95610']",N,0.0,,95610,Y,1,217,$$,"Health Score:Pass,Happy Hour Specials:Yes,Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:No,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual, Classy,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Tue, Fri, Sat,Coat Check:No,Smoking:No,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No,Has Pool Table:No",4,1,1,1,CA,Citrus Heights_CA,97.0,106.0,3.463917525773196,3.349056603773585,1,-13499699.063771574,4675770.5845059445,20,1,1
