,Lat,Long,Name,On_Yelp,Treated_Yelp,Review_count,Link,ID,Phone,Categories,Rating,City,Address,Treated_NonYelp,Num_control,Info_control,Zip,Control,Freq,City_code,Price,Amenities,Amenity_score,Takes_reservations,Offers_delivery,Parking_available,State,Geo_code,Review_count_before,Review_count_after,Rating_before,Rating_after,Match,x,y,n_neighbors,high_sub,high_rating
0,39.0425552,-94.5917358,Cooper's Hawk Winery & Restaurant,Y,N,480.0,https://www.yelp.com/biz/coopers-hawk-winery-and-restaurants-kansas-city-kansas-city?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,kqlQ6tWQBwbHKLzHToxv4A,18165311500.0,"American (New), Wine Bars, Wineries",4.0,Kansas City,"['4686 Broadway', 'Kansas City, MO 64112']",N,0.0,,64112,Y,1,610,$$,"Health Score:75 out of 100,Contactless Delivery:Yes,Vegan Options:Yes,Happy Hour Specials:Yes,Curbside Pickup:Yes,Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Dinner,Parking:Garage,Bike Parking:Yes,Good for Kids:No,Good for Groups:Yes,Attire:Casual,Ambience:Classy,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Best Nights:Fri, Sat, Sun,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Caters:Yes,By Appointment Only:No,Good for Working:No,Gender Neutral Restrooms:Yes",3,1,1,1,MO,Kansas City_MO,138.0,132.0,3.77536231884058,4.151515151515151,0,-10529903.862507865,4727769.074255955,11,0,1
2,47.15878677368161,-122.291748046875,Black Angus Steakhouse,Y,N,160.0,https://www.yelp.com/biz/black-angus-steakhouse-puyallup?adjust_creative=o6NWcctsZY7V2dWUCbEA8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=o6NWcctsZY7V2dWUCbEA8w,5ytVZhm_27QtA82I3NKvcA,12538411900.0,"Steakhouses, Sports Bars, American (Traditional)",3.5,Puyallup,"['203 35th Ave SE', 'Puyallup, WA 98374']",N,0.0,,98374,Y,1,1027,$$,"Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:Yes,Good For:Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Tue, Fri, Sat,Coat Check:No,Smoking:No,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Waiter Service:Yes,Caters:No,Has Pool Table:No",3,1,1,1,WA,Puyallup_WA,46.0,42.0,3.260869565217391,3.0476190476190474,1,-13613455.120797433,5968030.738222255,10,0,1
4,47.16794,-122.51097,Black Angus Steakhouse,Y,N,207.0,https://www.yelp.com/biz/black-angus-steakhouse-lakewood-3?adjust_creative=o6NWcctsZY7V2dWUCbEA8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=o6NWcctsZY7V2dWUCbEA8w,kQUvR1FSYECsiuIZbdsi0Q,12535826900.0,"Steakhouses, Sports Bars, American (Traditional)",3.5,Lakewood,"['9905 Bridgeport Way SW', 'Lakewood, WA 98499']",N,0.0,,98499,Y,1,659,$$,"Happy Hour Specials:Yes,Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:Yes,Good For:Dinner,Parking:Private Lot,Bike Parking:Yes,Wheelchair Accessible:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual, Classy,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Tue, Wed, Thu,Smoking:No,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Waiter Service:Yes,Caters:No,Has Pool Table:No",4,1,1,1,WA,Lakewood_WA,53.0,71.0,3.2641509433962264,3.619718309859155,1,-13637858.796990015,5969529.365976134,10,0,1
5,45.630793365363104,-122.666792979834,Black Angus Steakhouse,Y,N,229.0,https://www.yelp.com/biz/black-angus-steakhouse-vancouver?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,l_2Cpnowstz4eYAOValYzA,13606951506.0,"Steakhouses, Sports Bars, American (Traditional)",3.0,Vancouver,"['415 E 13th St', 'Vancouver, WA 98660']",N,0.0,,98660,Y,1,1311,$$,"Happy Hour Specials:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Good For:Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Fri, Sun,Coat Check:No,Smoking:No,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No,Has Pool Table:No",3,1,1,1,WA,Vancouver_WA,63.0,67.0,3.2063492063492065,3.253731343283582,1,-13655204.931759026,5721379.719302351,11,0,1
8,33.39085,-111.68255,Black Angus Steakhouse,Y,N,143.0,https://www.yelp.com/biz/black-angus-steakhouse-mesa-2?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,qNDqXNl38BYYn2JWcXw4OQ,14808306900.0,"Steakhouses, Sports Bars, American (Traditional)",3.0,Mesa,"['6902 E Hampton Ave', 'Mesa, AZ 85209']",N,0.0,,85209,Y,1,776,$$,"Health Score:84 out of 100,Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Good For:Lunch, Dinner, Dessert,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Quiet,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Mon, Sat,Coat Check:No,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Waiter Service:Yes,Caters:No,Has Pool Table:No",3,1,1,1,AZ,Mesa_AZ,31.0,55.0,3.2580645161290325,3.1818181818181817,1,-12432444.596494315,3947298.420718371,10,0,1
15,38.1330934,-122.2168793,Black Angus Steakhouse,Y,N,369.0,https://www.yelp.com/biz/black-angus-steakhouse-vallejo?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,zf_sl3pC0m2GfMYZPG2Okg,17076470595.0,"Steakhouses, American (Traditional), Sports Bars",3.0,Vallejo,"['124 Plaza Drive', 'Vallejo, CA 94591']",N,0.0,,94591,Y,1,1308,$$,"Health Score:86 out of 100,Keto Options:Yes,Happy Hour Specials:Yes,Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:Yes,Good For:Dinner, Dessert,Parking:Private Lot,Bike Parking:Yes,Wheelchair Accessible:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Tue, Fri, Sat,Smoking:No,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No,Has Pool Table:No",4,1,1,1,CA,Vallejo_CA,95.0,104.0,3.0,2.8653846153846154,1,-13605120.770018976,4598244.545345921,8,0,1
23,33.9448251489562,-117.995589547584,Black Angus Steakhouse,Y,N,325.0,https://www.yelp.com/biz/black-angus-steakhouse-whittier?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,jFINdgdJPKTs50qQ0maYTw,15629472200.0,"Steakhouses, Sports Bars, American (Traditional)",3.5,Whittier,"['15500 Whittier Blvd.', 'Whittier, CA 90603']",N,0.0,,90603,Y,1,1394,$$,"Health Score:A,Happy Hour Specials:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:No,Good For:Lunch, Dinner,Bike Parking:Yes,Wheelchair Accessible:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Fri, Sat, Sun,Smoking:No,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No,Has Pool Table:No",3,1,1,0,CA,Whittier_CA,97.0,106.0,3.577319587628866,3.481132075471698,1,-13135208.944289166,4021395.795598595,11,0,1
33,34.6940265,-118.1712946,Black Angus Steakhouse,Y,N,225.0,https://www.yelp.com/biz/black-angus-steakhouse-lancaster?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,uwbWgGRFgXoxvNX-ErNwNw,16619425225.0,"Steakhouses, Sports Bars, American (Traditional)",3.5,Lancaster,"['44690 Valley Central Way', 'Lancaster, CA 93534']",N,0.0,,93534,Y,1,660,$$,"Health Score:A,High Chairs:Yes,Happy Hour Specials:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Lunch, Dinner, Dessert,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Tue, Wed, Fri,Coat Check:No,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:Yes,Has Pool Table:No",4,1,1,1,CA,Lancaster_CA,60.0,66.0,3.3,3.484848484848485,1,-13154768.341253918,4122377.9183317367,11,0,1
41,28.3334325,-81.5202709,Logan's Roadhouse,Y,N,204.0,https://www.yelp.com/biz/logans-roadhouse-kissimmee-7?adjust_creative=o6NWcctsZY7V2dWUCbEA8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=o6NWcctsZY7V2dWUCbEA8w,QtPnLcxz2aMhY_bp3a5yMA,14073900500.0,"Steakhouses, American (Traditional), Barbeque",3.5,Kissimmee,"['5925 W Irlo Bronson Memorial Hwy', 'Kissimmee, FL 34746']",N,0.0,,34746,Y,1,630,$$,"Health Score:Pass,Happy Hour Specials:Yes,Kids Menu:Yes,Takes Reservations:No,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:Yes,Wi-Fi:No,Has TV:Yes,Waiter Service:Yes,Caters:Yes",3,0,1,1,FL,Kissimmee_FL,59.0,50.0,3.6271186440677967,3.36,1,-9074795.045917718,3291077.4110947,10,0,1
52,32.325307909493105,-110.928469199089,Firebirds Wood Fired Grill,Y,N,378.0,https://www.yelp.com/biz/firebirds-wood-fired-grill-tucson?adjust_creative=o6NWcctsZY7V2dWUCbEA8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=o6NWcctsZY7V2dWUCbEA8w,pUeuBWxgll2in2KqKeAR_A,15205770747.0,"Steakhouses, Seafood, Wine Bars",4.0,Tucson,"['2985 E Skyline Dr', 'Tucson, AZ 85718']",N,0.0,,85718,Y,1,1289,$$,"Kids Menu:Yes,Keto Options:Yes,Happy Hour Specials:Yes,Vegetarian Options:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Cryptocurrency:No,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Best Nights:Thu, Fri, Sat,Outdoor Seating:Yes,Wi-Fi:Free,Has TV:Yes,Caters:Yes",4,1,1,1,AZ,Tucson_AZ,72.0,119.0,3.875,3.957983193277311,1,-12348500.705719918,3806088.504389731,4,0,1
