,Lat,Long,Name,On_Yelp,Treated_Yelp,Review_count,Link,ID,Phone,Categories,Rating,City,Address,Treated_NonYelp,Num_control,Info_control,Zip,Control,Freq,City_code,Price,Amenities,Amenity_score,Takes_reservations,Offers_delivery,Parking_available,State,Geo_code,Review_count_before,Review_count_after,Rating_before,Rating_after,Match,x,y,n_neighbors,high_sub,high_rating
43,35.199872,-89.791526,Logan's Roadhouse,Y,N,102.0,https://www.yelp.com/biz/logans-roadhouse-memphis-4?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,kD2fqvkDoGj6xVLGgV0SVA,19013815254.0,"Barbeque, Steakhouses, American (Traditional)",2.0,Memphis,"['2710 N Germantown Pkwy', 'Memphis, TN 38133']",N,0.0,,38133,Y,1,768,$$,"Health Score:93 out of 100,Takes Reservations:No,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:Yes,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:No,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Caters:No",3,0,1,1,TN,Memphis_TN,33.0,31.0,2.1515151515151514,2.193548387096774,1,-9995546.951870985,4191076.2328719622,15,1,0
46,29.51938,-98.484885,Logan's Roadhouse,Y,N,208.0,https://www.yelp.com/biz/logans-roadhouse-san-antonio-15?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,UzkjVkmPvZZGKkqy270lyw,12103486405.0,"Steakhouses, American (Traditional), Barbeque",2.0,San Antonio,"['92 NE Loop 410', 'San Antonio, TX 78216']",N,0.0,,78216,Y,1,1114,$$,"Health Score:94 out of 100,Keto Options:Yes,Happy Hour Specials:Yes,Kids Menu:Yes,Takes Reservations:No,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Lunch, Dinner, Dessert,Parking:Private Lot,Bike Parking:No,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Waiter Service:Yes,Caters:No",3,0,1,1,TX,San Antonio_TX,64.0,74.0,2.0,1.7837837837837838,1,-10963287.249034107,3441919.0221914104,14,1,0
48,30.480739,-97.68177,Logan's Roadhouse,Y,N,178.0,https://www.yelp.com/biz/logans-roadhouse-round-rock-2?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,IAZvovbNqpp1ojdZ1BUC1A,15123413860.0,"Steakhouses, American (Traditional), Barbeque",2.5,Round Rock,"['2702 B Parker Rd', 'Round Rock, TX 78681']",N,0.0,,78681,Y,1,1092,$$,"Free for Kids:Yes,Takes Reservations:No,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Loud,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Caters:No",3,0,1,1,TX,Round Rock_TX,35.0,48.0,2.4857142857142858,2.2916666666666665,1,-10873884.896185666,3565495.24802534,23,1,0
127,33.50387,-117.14811,Claim Jumper,Y,N,364.0,https://www.yelp.com/biz/claim-jumper-temecula?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,yXmvdEmUTt1-UCmjQbiXQg,19516946887.0,"American (Traditional), Steakhouses",2.5,Temecula,"['29540 Rancho California Rd', 'Temecula, CA 92591']",N,0.0,,92591,Y,1,1261,$$,"Health Score:A,Takes Reservations:Yes,Offers Delivery:No,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:No,Good For:Lunch, Dinner, Dessert,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Caters:Yes",4,1,0,1,CA,Temecula_CA,120.0,74.0,2.95,2.972972972972973,1,-13040867.9525944,3962376.854194472,22,1,0
137,34.07226110000001,-117.5487146,Rainforest Cafe,Y,N,744.0,https://www.yelp.com/biz/rainforest-cafe-ontario?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,tByuec0d0FovT6ksT9WTNg,19099417979.0,"American (Traditional), Seafood, Steakhouses",2.5,Ontario,"['4810 Mills Cir', 'Ontario, CA 91764']",N,0.0,,91764,Y,1,936,$$,"Health Score:A,Kids Menu:Yes,High Chairs:Yes,Contactless Delivery:No,Vegan Options:Yes,Curbside Pickup:Yes,Stroller Parking:Yes,Kids Activities Nearby:Yes,Takes Reservations:No,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:Yes,Good For:Lunch, Dinner,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual, Touristy, Classy,Noise Level:Loud,Alcohol:Full Bar,Good For Happy Hour:No,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:Yes",3,0,1,0,CA,Ontario_CA,189.0,223.0,2.343915343915344,2.439461883408072,1,-13085463.052675843,4038509.0583462906,39,1,0
139,42.04937,-88.03933,Rainforest Cafe,Y,N,321.0,https://www.yelp.com/biz/rainforest-cafe-schaumburg?adjust_creative=o6NWcctsZY7V2dWUCbEA8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=o6NWcctsZY7V2dWUCbEA8w,eHxVX1jZhPDGFxoMYCOOxg,18476191900.0,"American (Traditional), Seafood, Steakhouses",2.5,Schaumburg,"['D121 Woodfield Mall', 'Schaumburg, IL 60173']",N,0.0,,60173,Y,1,1143,$$,"High Chairs:Yes,Kids Activities Nearby:Yes,Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:Yes,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:No,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Touristy,Noise Level:Loud,Alcohol:Full Bar,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Dogs Allowed:No,Caters:Yes",3,1,1,1,IL,Schaumburg_IL,77.0,76.0,2.142857142857143,2.671052631578948,1,-9800493.385380974,5168377.701875055,29,1,0
182,29.42493,-98.4882954,Rainforest Cafe,Y,Y,535.0,https://www.yelp.com/biz/rainforest-cafe-san-antonio?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,S1_O_MKvthCTiKO-KotGyA,12102776300.0,"American (Traditional), Seafood, Steakhouses",2.5,San Antonio,"['110 E Crockett', 'San Antonio, TX 78205']",N,22.0,"['YD165pqaakFZe-zSiEqMjQ', 'UzkjVkmPvZZGKkqy270lyw', 'arAjKa-Vn7jGw9RPKevNsw', 'RDTqU07DJGKq5CyPNzOfZQ', '0oh-tWbIP7Suh4vYQEMbIw', 'rN2jDurgmqxYITTaWRLFsQ', 'lcLRd7I5iJdIqvAbIdktlQ', 'o6uGVu7eEgt-RceMmiP80A', 'QFNs2dKe4-v2oKCXYmxc4g', '8BeLovoIa3OqMkCAk8Spcw', 'ZZxsjzVhEnIxHP-BMKy8BQ', 'PdjGAlf8QnLtzlr3Lg5W_Q', 'O40GqtCvXRKDBleHOJ352g', 'Ut5yYH3729AQBMT4QjCYJg', 'z7SrqjgBtnbyjgEezSyJ-w', 'T9diFaHJIsGVKePFYCQJxQ', 'InfQEeEztwevDVHPmlUUDA', 'KMofP8OxOCvqC_PIGP1J9Q', 'MOKdOA5qRuB5blvw-5zuLA', 'HQ7qk_MO99XAcwZmoGfDxg', '07gk8XNBKM81L5Huc8V9nw', 'PUJ0Yu8lIwmdUOGbPZk0jQ']",78205,N,3,1114,$$,"Health Score:90 out of 100,Happy Hour Specials:Yes,Kids Menu:Yes,High Chairs:Yes,Contactless Delivery:No,Curbside Pickup:Yes,Kids Activities Nearby:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:No,Good For:Lunch, Dinner, Dessert,Parking:Private Lot,Bike Parking:No,Wheelchair Accessible:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual, Touristy,Noise Level:Average,Alcohol:Full Bar,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:Yes",4,1,1,1,TX,San Antonio_TX,120.0,207.0,2.333333333333333,2.4782608695652173,1,-10963666.893025508,3429842.075954756,14,1,0
347,38.637936384970295,-121.494595239252,Logan's Roadhouse,Y,N,369.0,https://www.yelp.com/biz/logans-roadhouse-sacramento-3?adjust_creative=aVWx-leShBUsDvJoPZDtvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=aVWx-leShBUsDvJoPZDtvA,FbLdVWkfHl72-F5fSryOWg,19164198100.0,"Steakhouses, American (Traditional), Bars",2.5,Sacramento,"['3696 N Freeway Blvd', 'Sacramento, CA 95835']",N,0.0,,95835,Y,1,1098,$$,"Health Score:Pass,Happy Hour Specials:Yes,Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:Yes,Good For:Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Good For Dancing:No,Alcohol:Full Bar,Good For Happy Hour:Yes,Best Nights:Mon, Tue, Wed,Smoking:No,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Waiter Service:Yes,Caters:No,Has Pool Table:No,Gender Neutral Restrooms:Yes",3,1,1,1,CA,Sacramento_CA,79.0,117.0,2.3797468354430378,2.418803418803418,1,-13524716.476168413,4669940.9675572235,18,1,0
367,37.962084,-121.740796766865,Mimi's Cafe,Y,N,364.0,https://www.yelp.com/biz/mimis-cafe-antioch-2?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,80rWHBO6Bas4-1uy6PNWCQ,19257543186.0,"Breakfast & Brunch, American (Traditional), French",2.5,Antioch,"['5705 Lonetree Way', 'Antioch, CA 94509']",N,0.0,,94509,Y,1,27,$$,"Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:No,Good For:Breakfast, Brunch, Lunch,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:Yes",4,1,1,1,CA,Antioch_CA,82.0,95.0,2.963414634146341,2.431578947368421,2,-13552123.504854819,4574070.937501865,12,1,0
371,37.971996,-122.044401,Mimi's Cafe,Y,N,296.0,https://www.yelp.com/biz/mimis-cafe-concord?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,15GgQ2XX4nKPwuiiwxrdlQ,19259699790.0,"Breakfast & Brunch, American (Traditional), French",2.5,Concord,"['1631 Willow Pass Rd', 'Concord, CA 94520']",N,0.0,,94520,Y,1,251,$$,"Takes Reservations:Yes,Offers Delivery:No,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:No,Good For:Breakfast, Lunch,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:Yes,Wi-Fi:No,Has TV:No,Caters:Yes",2,1,0,1,CA,Concord_CA,88.0,34.0,2.522727272727273,2.294117647058824,2,-13585920.573490087,4575470.541861764,18,1,0
