,Lat,Long,Name,On_Yelp,Treated_Yelp,Review_count,Link,ID,Phone,Categories,Rating,City,Address,Treated_NonYelp,Num_control,Info_control,Zip,Control,Freq,City_code,Price,Amenities,Amenity_score,Takes_reservations,Offers_delivery,Parking_available,State,Geo_code,Review_count_before,Review_count_after,Rating_before,Rating_after,Match,x,y,n_neighbors,high_sub,high_rating
42,32.267232,-90.143005,Logan's Roadhouse,Y,N,102.0,https://www.yelp.com/biz/logans-roadhouse-pearl-2?adjust_creative=o6NWcctsZY7V2dWUCbEA8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=o6NWcctsZY7V2dWUCbEA8w,rDeMoqWdxmI7bm5LCnz4-g,16019395174.0,"Steakhouses, Barbeque, American (Traditional)",2.0,Pearl,"['431 Riverwind Dr', 'Pearl, MS 39208']",N,0.0,,39208,Y,1,978,$$,"Health Score:B,Dine-in:Yes,High Chairs:Yes,Takes Reservations:No,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Dinner,Parking:Private Lot,Bike Parking:No,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Loud,Alcohol:Full Bar,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Caters:No",3,0,1,1,MS,Pearl_MS,38.0,33.0,1.973684210526316,1.606060606060606,1,-10034673.415175514,3798440.323824805,3,0,0
44,32.596385999999995,-96.821637,Logan's Roadhouse,Y,N,116.0,https://www.yelp.com/biz/logans-roadhouse-lancaster?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,TrO-XxUUZNfbiEs3tC9TAA,19722743400.0,"American (Traditional), Barbeque, Steakhouses",1.5,Lancaster,"['700 North I-35 E', 'Lancaster, TX 75146']",N,0.0,,75146,Y,1,662,$$,"Takes Reservations:No,Offers Delivery:No,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Lunch, Dessert,Bike Parking:No,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Caters:Yes",3,0,0,0,TX,Lancaster_TX,34.0,57.0,1.8529411764705883,1.5087719298245614,1,-10778135.328611175,3841852.6822418296,3,0,0
45,32.80642,-97.424685,Logan's Roadhouse,Y,N,93.0,https://www.yelp.com/biz/logans-roadhouse-fort-worth-3?adjust_creative=X1tIGiyfjABEeMQZlLqJVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=X1tIGiyfjABEeMQZlLqJVg,5JaGsF3KkJGOZDmjEPpb8w,18172370405.0,"Steakhouses, Barbeque, American (Traditional)",2.5,Fort Worth,"['5912 Quebec St', 'Fort Worth, TX 76135']",N,0.0,,76135,Y,1,428,$$,"Health Score:PASS,Takes Reservations:No,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Google Pay:No,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:No,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No",4,0,1,1,TX,Fort Worth_TX,31.0,33.0,2.032258064516129,2.515151515151515,1,-10845266.324895076,3869637.5542642404,3,0,0
47,30.526718,-97.813389,Logan's Roadhouse,Y,N,205.0,https://www.yelp.com/biz/logans-roadhouse-cedar-park-3?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,kLFGKBiRYMwheC8IN1wfLg,15122598500.0,"American (Traditional), Steakhouses, Barbeque",2.5,Cedar Park,"['1345 Whitestone Blvd', 'Cedar Park, TX 78613']",N,0.0,,78613,Y,1,177,$$,"Happy Hour Specials:Yes,Kids Menu:Yes,Takes Reservations:No,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:No,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:No",4,0,1,1,TX,Cedar Park_TX,46.0,46.0,2.217391304347826,2.130434782608696,1,-10888536.656244386,3571435.8029061267,10,0,0
49,38.78982,-77.51595999999998,Logan's Roadhouse,Y,N,207.0,https://www.yelp.com/biz/logans-roadhouse-manassas-2?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,Pmxea715LqjLrOsFurQjAQ,17033690244.0,"Steakhouses, American (Traditional), Barbeque",2.5,Manassas,"['7731 Donegan Dr', 'Manassas, VA 20110']",N,0.0,,20110,Y,1,734,$$,"Health Score:95 out of 100,Kids Menu:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:Yes,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:No,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:Yes,Wi-Fi:No,Has TV:Yes,Waiter Service:Yes,Caters:No",3,1,1,1,VA,Manassas_VA,59.0,54.0,2.2033898305084745,2.7777777777777777,1,-8629037.19555176,4691609.651884857,4,0,0
107,33.463070515549695,-112.277892976999,Claim Jumper,Y,N,294.0,https://www.yelp.com/biz/claim-jumper-restaurant-and-saloon-avondale-2?adjust_creative=o6NWcctsZY7V2dWUCbEA8w&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=o6NWcctsZY7V2dWUCbEA8w,QSGerT1enEKlvJnYkwthHQ,16237429892.0,"American (Traditional), Seafood, Steakhouses",2.5,Avondale,"['10125 W McDowell Rd', 'Avondale, AZ 85392']",N,0.0,,85392,Y,1,58,$$,"Health Score:83 out of 100,Kids Menu:Yes,Vegan Options:Yes,Happy Hour Specials:Yes,Takes Reservations:No,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Accepts Google Pay:Yes,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual, Classy,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:Yes,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:Yes",4,0,1,1,AZ,Avondale_AZ,79.0,67.0,2.6582278481012658,2.373134328358209,1,-12498717.873541195,3956931.3711534543,11,0,0
140,42.703574,-83.296836,Rainforest Cafe,Y,N,216.0,https://www.yelp.com/biz/rainforest-cafe-auburn-hills?adjust_creative=wxOdKssmCr1HKHSL3hLR-Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=wxOdKssmCr1HKHSL3hLR-Q,uo7AB_Kp9whudKo7ZjL3pA,12483330280.0,"American (Traditional), Seafood, Steakhouses",2.5,Auburn Hills,"['4310 Baldwin Rd', 'Auburn Hills, MI 48326']",N,0.0,,48326,Y,1,46,$$,"Contactless Delivery:No,Kids Activities Nearby:Yes,Vegan Options:Yes,Curbside Pickup:Yes,Kids Menu:Yes,Takes Reservations:No,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Good For:Lunch, Dinner,Bike Parking:No,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Touristy,Noise Level:Very Loud,Alcohol:Full Bar,Outdoor Seating:Yes,Wi-Fi:Free,Has TV:Yes,Dogs Allowed:No,Waiter Service:Yes,Caters:Yes",4,0,1,0,MI,Auburn Hills_MI,47.0,71.0,2.5106382978723403,2.4788732394366195,1,-9272561.368210819,5266961.076061444,6,0,0
345,32.826981,-97.204053,Logan's Roadhouse,Y,N,166.0,https://www.yelp.com/biz/logans-roadhouse-hurst-2?adjust_creative=aVWx-leShBUsDvJoPZDtvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=aVWx-leShBUsDvJoPZDtvA,xKg6XBFYu4huOg6rn8dukQ,18175900261.0,"Steakhouses, Barbeque, American (Traditional)",2.5,Hurst,"['948 North East Loop 820', 'Hurst, TX 76053']",N,0.0,,76053,Y,1,577,$$,"Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Alcohol:Full Bar,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Caters:No",3,1,1,1,TX,Hurst_TX,60.0,51.0,2.2333333333333334,2.0,1,-10820705.683002377,3872361.0388624407,5,0,0
348,36.857401,-76.20908399999998,Logan's Roadhouse,Y,N,154.0,https://www.yelp.com/biz/logans-roadhouse-norfolk-3?adjust_creative=aVWx-leShBUsDvJoPZDtvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=aVWx-leShBUsDvJoPZDtvA,k2rjzPWPZN2arMFBYoiD_w,17574616869.0,"Steakhouses, Barbeque, American (Traditional)",2.0,Norfolk,"['1020 N Military Hwy', 'Norfolk, VA 23502']",N,0.0,,23502,Y,1,882,$$,"Health Score:100 out of 100,Happy Hour Specials:Yes,Takes Reservations:No,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Loud,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Waiter Service:Yes,Caters:No",3,0,1,1,VA,Norfolk_VA,46.0,46.0,2.0869565217391304,2.239130434782609,1,-8483556.42470181,4419248.920656077,3,0,0
352,30.083603000000004,-97.823166,Logan's Roadhouse,Y,N,157.0,https://www.yelp.com/biz/logans-roadhouse-buda-4?adjust_creative=aVWx-leShBUsDvJoPZDtvA&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=aVWx-leShBUsDvJoPZDtvA,HzotLQtwuolkhU8pOGdqjA,15122955668.0,"American (Traditional), Barbeque, Steakhouses",2.5,Buda,"['419 Old San Antonio Rd', 'Buda, TX 78610']",N,0.0,,78610,Y,1,137,$$,"Happy Hour Specials:Yes,Takes Reservations:Yes,Offers Delivery:Yes,Offers Takeout:Yes,Accepts Credit Cards:Yes,Accepts Apple Pay:No,Good For:Lunch, Dinner,Parking:Private Lot,Bike Parking:Yes,Good for Kids:Yes,Good for Groups:Yes,Attire:Casual,Ambience:Casual,Noise Level:Average,Alcohol:Full Bar,Good For Happy Hour:Yes,Outdoor Seating:No,Wi-Fi:No,Has TV:Yes,Waiter Service:Yes,Caters:No",3,1,1,1,TX,Buda_TX,41.0,51.0,2.292682926829268,2.196078431372549,1,-10889625.026905872,3514300.7625860046,3,0,0
